run,model,item_id,axis,verdict,rationale,retried
v241_pixart-sigma,pixart-sigma,bench_v1_001,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_001,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_001,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_002,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_002,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_002,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_003,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_003,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_003,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_004,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_004,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_004,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_005,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_005,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_005,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_006,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_006,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_006,attribute,pass,상자는 파란색이고 리본은 노란색으로 색이 서로 뒤바뀌지 않았습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_007,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_007,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_007,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_008,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_008,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_008,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_009,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_009,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_009,attribute,pass,"왕의 옷은 빨간색이고, 왕비의 치마는 파란색으로 색 전이가 없습니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_010,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_010,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_010,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_011,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_011,spatial,pass,"초가집보다 농부가 앞에 위치하고 있으며, 초가지붕은 분명하게 식별됩니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_011,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_012,counting,fail,아이가 두 명입니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_012,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_012,attribute,pass,두 아이 모두 노란 저고리를 입고 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_013,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_013,spatial,pass,"단풍나무가 왼쪽에 있고, 소나무가 오른쪽에 위치해 있어 좌우가 정확합니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_013,attribute,pass,"단풍나무가 붉은색, 소나무가 초록색으로 색상이 정확합니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_014,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_014,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_014,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_015,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_015,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_015,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_016,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_016,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_016,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_017,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_017,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_017,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_018,counting,pass,이미지에는 정확히 4마리의 참새가 보입니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_018,spatial,pass,모든 참새들이 나뭇가지 위에 앉아 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_018,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_019,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_019,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_019,attribute,pass,주황색과 흰색의 줄무늬가 뒤집어지지 않고 올바르게 유지되어 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_020,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_020,spatial,pass,"지구는 태양의 왼쪽에 위치하고, 달은 그 오른쪽에 배치되어 있습니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_020,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_021,counting,fail,연잎이 3장으로 세어짐,False
v241_pixart-sigma,pixart-sigma,bench_v1_021,spatial,pass,개구리는 연잎 위에 앉아 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_021,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_022,counting,pass,"이미지에는 빨간 튤립이 2송이, 노란 튤립이 3송이가 그려져 있다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_022,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_022,attribute,pass,이미지에서 빨간 튤립과 노란 튤립의 색상은 각각 정확하게 표현되어 있다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_023,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_023,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_023,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_024,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_024,spatial,pass,학생은 책상 아래 공간에 들어가 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_024,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_025,counting,fail,이미지에는 4명의 사람이 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_025,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_025,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_026,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_026,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_026,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_027,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_027,spatial,pass,보는 방향에서 국그릇이 밥그릇의 오른쪽에 위치하고 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_027,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_028,counting,pass,"인물은 총 3명으로, 2명이 책을 읽고 1명이 창가에 서 있습니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_028,spatial,pass,"인물들은 서로 다른 공간에 위치하고 있으며, 2명이 책을 읽고 있는 테이블과 창가에 서 있는 인물이 구분됩니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_028,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_029,counting,pass,접시가 정확히 3개가 보입니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_029,spatial,pass,오븐이 요리사 뒤 배경에 위치하고 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_029,attribute,pass,앞치마가 빨간색입니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_030,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_030,spatial,pass,"아이가 우산 아래에 있으며, 우산이 웅덩이 옆에 위치하고 있다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_030,attribute,pass,"아이의 우비는 노란색이고, 우산은 파란색으로 색상이 교차되지 않았다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_031,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_031,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_031,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_032,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_032,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_032,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_033,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_033,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_033,attribute,pass,"두 인물의 표정은 분노로 뚜렷이 구분되며, 같은 감정으로 통일되지 않습니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_034,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_034,spatial,fail,"이미지에서 두 아이 모두 바닥에 앉아 있으며, 한 명이 다른 한 명에게 손을 내밀고 있지 않습니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_034,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_035,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_035,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_035,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_036,counting,pass,아이가 정확히 3명입니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_036,spatial,pass,"중간의 아이가 시무룩하고, 양쪽 아이가 웃는 표정으로 위치하고 있습니다.",False
v241_pixart-sigma,pixart-sigma,bench_v1_036,attribute,pass,아이들의 표정과 감정이 정확하게 표현되어 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_037,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_037,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_037,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_038,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_038,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_038,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_039,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_039,spatial,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_039,attribute,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_040,counting,n/a,,False
v241_pixart-sigma,pixart-sigma,bench_v1_040,spatial,pass,새싹은 큰 나무의 그늘 아래에 위치해 있습니다.,False
v241_pixart-sigma,pixart-sigma,bench_v1_040,attribute,n/a,,False
