run,model,item_id,image,vqascore,custom_cv
v241_pixart-sigma,pixart-sigma,bench_v1_001,v241_00_exactly_one_red_apple_with_one_green_leaf_and_one_brown_stem_large_and_centered.png,0.8688,0.7197
v241_pixart-sigma,pixart-sigma,bench_v1_002,v241_01_exactly_one_white_six_sided_die_with_black_circular_pips_slightly_rotated_to_show_three_faces_displaying_one_pip_two_pips_and_three_pips.png,0.7175,0.7324
v241_pixart-sigma,pixart-sigma,bench_v1_003,v241_02_exactly_one_yellow_umbrella_centered_canopy_open_and_curved_handle_visible.png,0.9208,0.732
v241_pixart-sigma,pixart-sigma,bench_v1_004,v241_03_exactly_one_black_joseon_era_gat_with_a_tall_translucent_crown_a_wide_circular_brim_and_two_thin_tied_chin_strings_single_centered_arrangement.png,0.5609,0.6362
v241_pixart-sigma,pixart-sigma,bench_v1_005,v241_04_exactly_one_cream_soprano_recorder_with_clearly_visible_finger_holes_and_mouthpiece_single_centered_arrangement.png,0.8903,0.7582
v241_pixart-sigma,pixart-sigma,bench_v1_006,v241_05_a_blue_gift_box_with_a_yellow_ribbon_tied_in_a_neat_bow_on_top_single_centered_arrangement.png,0.9479,0.7388
v241_pixart-sigma,pixart-sigma,bench_v1_007,v241_06_exactly_one_joseon_era_scholar_wearing_traditional_white_hanbok_and_a_black_gat_hat_standing_centered_calm_posture_with_hands_gently_clasped_in_front.png,0.8903,0.7318
v241_pixart-sigma,pixart-sigma,bench_v1_008,v241_07_exactly_one_black_and_white_swallow_with_a_long_forked_tail_perched_on_a_thin_branch_centered.png,0.9136,0.7023
v241_pixart-sigma,pixart-sigma,bench_v1_009,v241_08_exactly_one_king_in_a_red_gonryongpo_robe_and_exactly_one_queen_in_a_blue_chima_skirt_standing_side_by_side_the_king_on_the_left_and_the_queen_on_the_right_both_facing_forward_with_calm_expressions.png,0.933,0.7049
v241_pixart-sigma,pixart-sigma,bench_v1_010,v241_09_exactly_one_traditional_korean_turtle_ship_floating_on_calm_sea_waves_the_ship_centered_showing_a_wooden_hull_a_spiked_roof_deck_and_a_dragon_headed_prow.png,0.8654,0.648
v241_pixart-sigma,pixart-sigma,bench_v1_011,v241_10_a_friendly_farmer_standing_centered_in_front_of_a_thatched_roof_house_wearing_a_wide_straw_hat_and_plain_overalls_holding_a_wooden_hoe_at_their_side.png,0.9795,0.7204
v241_pixart-sigma,pixart-sigma,bench_v1_012,v241_11_exactly_three_children_wearing_yellow_jeogori_jackets_performing_the_ganggangsullae_circle_dance_each_child_holding_the_next_child_s_hands_evenly_spaced_to_form_a_ring_feet_mid_step_cheerful_expressions.png,0.8396,0.7049
v241_pixart-sigma,pixart-sigma,bench_v1_013,v241_12_a_traditional_korean_tile_roofed_house_centered_exactly_one_red_maple_tree_on_the_left_with_autumn_foliage_exactly_one_green_pine_tree_on_the_right_scattered_fallen_leaves_below.png,0.9316,0.6757
v241_pixart-sigma,pixart-sigma,bench_v1_014,v241_13_exactly_one_green_frog_sitting_facing_forward_centered.png,0.9114,0.6843
v241_pixart-sigma,pixart-sigma,bench_v1_015,v241_14_exactly_one_yellow_petaled_sunflower_with_a_brown_center_a_green_stem_and_exactly_two_green_leaves_single_centered_arrangement.png,0.896,0.7408
v241_pixart-sigma,pixart-sigma,bench_v1_016,v241_15_a_large_bright_full_moon_centered_with_visible_surface_craters_and_dark_maria.png,0.9039,0.5887
v241_pixart-sigma,pixart-sigma,bench_v1_017,v241_16_exactly_three_dark_gray_clouds_with_steady_rain_falling_downward_from_each_arranged_in_a_horizontal_row_near_the_top.png,0.8903,0.745
v241_pixart-sigma,pixart-sigma,bench_v1_018,v241_17_exactly_four_brown_sparrows_perched_on_a_single_tree_branch_in_a_horizontal_row_evenly_spaced.png,0.9549,0.6447
v241_pixart-sigma,pixart-sigma,bench_v1_019,v241_18_exactly_one_orange_clownfish_with_white_stripes_side_view_fins_spread_single_centered_arrangement.png,0.802,0.7494
v241_pixart-sigma,pixart-sigma,bench_v1_020,v241_19_the_sun_centered_with_exactly_one_earth_on_the_left_and_exactly_one_moon_on_the_right_all_in_a_horizontal_row_each_body_shown_as_a_simple_sphere_with_distinct_colors_and_craters_visible_on_the_moon.png,0.8722,0.7487
v241_pixart-sigma,pixart-sigma,bench_v1_021,v241_20_exactly_five_green_lotus_leaves_floating_on_calm_water_arranged_in_a_gentle_cluster_the_rightmost_leaf_supporting_exactly_one_small_green_frog_sitting_facing_forward.png,0.8587,0.7235
v241_pixart-sigma,pixart-sigma,bench_v1_022,v241_21_exactly_two_red_tulips_and_exactly_three_yellow_tulips_growing_together_in_a_rectangular_flower_bed_green_stems_and_leaves_visible_arranged_in_one_horizontal_row_with_the_red_tulips_on_the_left_and_the_yellow_tulips_on_the_right.png,0.8816,0.7047
v241_pixart-sigma,pixart-sigma,bench_v1_023,v241_22_exactly_one_elementary_school_student_standing_in_front_of_a_zebra_crosswalk_facing_forward_a_small_backpack_on_their_shoulders.png,0.9248,0.7244
v241_pixart-sigma,pixart-sigma,bench_v1_024,v241_23_exactly_one_student_crouching_under_exactly_one_sturdy_desk_knees_tucked_and_head_covered_with_both_hands_earthquake_drill_posture_centered_single_arrangement.png,0.8396,0.6931
v241_pixart-sigma,pixart-sigma,bench_v1_025,v241_24_exactly_three_people_standing_in_a_single_file_line_at_a_bus_stop_arranged_from_left_to_right_beside_a_round_bus_stop_sign_on_the_left.png,0.9226,0.7278
v241_pixart-sigma,pixart-sigma,bench_v1_026,v241_25_exactly_one_firefighter_in_a_bright_protective_helmet_and_suit_on_the_left_spraying_a_stream_of_water_from_a_hose_toward_tall_orange_flames_on_the_right_clear_action_pose.png,0.9271,0.7194
v241_pixart-sigma,pixart-sigma,bench_v1_027,v241_26_a_korean_table_setting_showing_exactly_one_white_rice_bowl_on_the_left_exactly_one_soup_bowl_on_the_right_exactly_one_metal_spoon_and_exactly_one_pair_of_chopsticks_placed_parallel_in_a_horizontal_row_on_the_far_right.png,0.9114,0.708
