image_path,image,prompt_id,item_id,type,check
image-prompts/v246_pixart-sigma-lecture24/images/v246_17_single_character_cutout_qwen.png,v246_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s1,count,exactly one elderly woman is depicted
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_15_single_character_cutout_claude.png,v247_15_single_character_cutout_claude.png,single_character_cutout_claude,s1,count,exactly one person is depicted
image-prompts/v249_qwen-image-lecture24/images/v249_13_intergenerational_indoor_scene_chatgpt.png,v249_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s1,count,exactly 3 people are present
image-prompts/v246_pixart-sigma-lecture24/images/v246_23_geometric_shape_set_qwen.png,v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s3,count,exactly 8 shapes are shown in two rows of four
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_07_historical_figure_portrait_chatgpt.png,v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s1,count,exactly one figure is depicted
image-prompts/v249_qwen-image-lecture24/images/v249_18_labeled_science_diagram_claude.png,v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,"exactly two plain empty ovals appear, on the right and lower-left"
image-prompts/v246_pixart-sigma-lecture24/images/v246_18_labeled_science_diagram_claude.png,v246_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,"exactly two plain empty ovals appear, on the right and lower-left"
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_05_data_visualization_chart_qwen.png,v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s1,count,exactly 6 bars are present
image-prompts/v249_qwen-image-lecture24/images/v249_10_multi_character_classroom_collaboration_chatgpt.png,v249_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s1,count,exactly 4 students are present
image-prompts/v246_pixart-sigma-lecture24/images/v246_07_historical_figure_portrait_chatgpt.png,v246_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s1,count,exactly one figure is depicted
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_12_intergenerational_indoor_scene_claude.png,v247_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s1,count,"exactly 3 people are present (two elderly, one child)"
image-prompts/v249_qwen-image-lecture24/images/v249_09_multi_character_classroom_collaboration_claude.png,v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s1,count,exactly 4 children are present
image-prompts/v246_pixart-sigma-lecture24/images/v246_00_structured_worksheet_template_claude.png,v246_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,exactly 6 teardrop-shaped pins are present
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_13_intergenerational_indoor_scene_chatgpt.png,v247_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s1,count,exactly 3 people are present
image-prompts/v249_qwen-image-lecture24/images/v249_01_structured_worksheet_template_chatgpt.png,v249_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s3,count,exactly 6 teardrop-shaped pins are present
image-prompts/v246_pixart-sigma-lecture24/images/v246_04_data_visualization_chart_chatgpt.png,v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s1,count,exactly 6 bars/toy categories are present
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_03_data_visualization_chart_claude.png,v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s1,count,exactly 6 bars are present
image-prompts/v249_qwen-image-lecture24/images/v249_04_data_visualization_chart_chatgpt.png,v249_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s3,count,each bar has a matching toy icon below it
image-prompts/v246_pixart-sigma-lecture24/images/v246_10_multi_character_classroom_collaboration_chatgpt.png,v246_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s1,count,exactly 4 students are present
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_11_multi_character_classroom_collaboration_qwen.png,v247_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s1,count,exactly 4 children are present
image-prompts/v249_qwen-image-lecture24/images/v249_11_multi_character_classroom_collaboration_qwen.png,v249_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s1,count,exactly 4 children are present
image-prompts/v246_pixart-sigma-lecture24/images/v246_09_multi_character_classroom_collaboration_claude.png,v246_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s1,count,exactly 4 children are present
image-prompts/v247_flux2-klein-4b-nf4-lecture24/images/v247_09_multi_character_classroom_collaboration_claude.png,v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s1,count,exactly 4 children are present
image-prompts/v249_qwen-image-lecture24/images/v249_18_labeled_science_diagram_claude.png,v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s3,count,exactly one large circle (nucleus) is at the center
image-prompts/v246_pixart-sigma-lecture24/images/v246_06_historical_figure_portrait_claude.png,v246_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s1,count,exactly one human figure is depicted
