image_path,image,prompt_id,item_id,type,check
image-prompts/v243_pixart-sigma-lecture24/images/v243_11_multi_character_classroom_collaboration_qwen.png,v243_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s4,count,each of the 4 children has a speech bubble above them
image-prompts/v244_flux2-klein-4b-nf4-lecture24/images/v244_02_structured_worksheet_template_qwen.png,v244_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s1,count,exactly 6 rectangular boxes are present
image-prompts/v245_qwen-image-lecture24/images/v245_06_historical_figure_portrait_claude.png,v245_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s1,count,exactly one human figure is depicted
image-prompts/v243_pixart-sigma-lecture24/images/v243_22_geometric_shape_set_chatgpt.png,v243_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s1,count,"exactly 8 distinct shapes are present (hexagon, square, rhombus, triangle, trapezoid, rectangle, circle, pentagon)"
image-prompts/v244_flux2-klein-4b-nf4-lecture24/images/v244_18_labeled_science_diagram_claude.png,v244_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,"exactly two plain empty ovals appear, on the right and lower-left"
image-prompts/v245_qwen-image-lecture24/images/v245_21_geometric_shape_set_claude.png,v245_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s1,count,exactly 8 distinct shapes are present
image-prompts/v243_pixart-sigma-lecture24/images/v243_12_intergenerational_indoor_scene_claude.png,v243_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s1,count,"exactly 3 people are present (two elderly, one child)"
image-prompts/v244_flux2-klein-4b-nf4-lecture24/images/v244_18_labeled_science_diagram_claude.png,v244_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s4,count,exactly four oval organelles with internal wavy stripes surround the nucleus
image-prompts/v245_qwen-image-lecture24/images/v245_11_multi_character_classroom_collaboration_qwen.png,v245_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s4,count,each of the 4 children has a speech bubble above them
image-prompts/v243_pixart-sigma-lecture24/images/v243_03_data_visualization_chart_claude.png,v243_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s3,count,"exactly 6 toy icons are present, one centered below each bar"
