image,prompt_id,item_id,type,verdict_a,verdict_b
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s2,spatial,yes,no
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s7,style,no,yes
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s9,text,no,yes
v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s4,text,no,yes
v246_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s3,count,no,yes
v246_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s5,text,no,yes
v246_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s6,text,no,unclear
v246_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s8,style,no,yes
v246_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s4,attribute,no,yes
v246_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s7,spatial,no,yes
v246_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s6,spatial,no,yes
v246_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s2,spatial,no,yes
v246_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s3,attribute,no,yes
v246_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s4,spatial,yes,no
v246_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s6,attribute,no,yes
v246_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s9,attribute,yes,no
v246_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s1,count,no,yes
v246_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s6,spatial,no,yes
v246_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,yes,no
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s4,text,no,yes
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s6,style,no,yes
v246_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s4,text,no,yes
v246_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s6,text,no,yes
v246_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s6,attribute,no,yes
v246_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s3,text,no,yes
v246_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s4,text,no,yes
v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s3,count,no,yes
v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s6,attribute,no,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s10,style,no,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s2,spatial,no,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,yes,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s3,count,yes,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s7,style,no,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s10,style,no,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s2,spatial,no,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s3,count,yes,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s3,count,yes,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s6,attribute,no,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s1,count,no,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s5,text,no,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s6,spatial,no,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s8,style,no,yes
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s3,attribute,no,yes
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s4,attribute,no,yes
v247_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s2,attribute,yes,no
v247_15_single_character_cutout_claude.png,single_character_cutout_claude,s9,text,no,yes
v247_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s6,spatial,unclear,yes
v247_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s4,text,no,yes
v247_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s5,text,no,yes
v247_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s4,text,no,yes
