image,prompt_id,item_id,type,verdict
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s9,text,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s7,attribute,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s5,spatial,no
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s6,spatial,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s4,attribute,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s8,style,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s1,count,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s10,style,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s2,spatial,no
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s4,attribute,yes
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s5,spatial,no
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s1,count,no
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s6,attribute,yes
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s9,spatial,unclear
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s7,style,no
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s2,spatial,no
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s8,style,yes
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s3,count,no
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s6,spatial,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s10,style,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s4,attribute,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s8,style,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s5,spatial,no
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s7,attribute,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s2,spatial,no
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s1,count,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s3,count,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s9,text,yes
