image,prompt_id,item_id,type,verdict
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s7,attribute,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s5,spatial,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s1,count,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s10,style,no
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s4,attribute,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s6,spatial,no
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s2,spatial,no
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s9,text,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s8,style,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s7,style,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s5,spatial,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s1,count,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s4,attribute,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s6,attribute,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s2,spatial,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s8,style,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s9,spatial,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s3,count,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s7,attribute,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s9,text,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s6,spatial,no
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s2,spatial,no
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s4,attribute,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s10,style,no
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s3,count,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s5,spatial,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s8,style,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s1,count,yes
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s9,text,yes
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s6,attribute,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s2,attribute,yes
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s1,count,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s8,spatial,yes
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s4,attribute,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s3,count,yes
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s7,spatial,yes
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s5,attribute,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s8,style,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s2,attribute,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s6,text,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s7,spatial,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s3,count,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s4,text,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s1,count,no
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s5,text,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s1,count,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s3,count,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s7,attribute,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s4,attribute,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s6,text,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s5,text,no
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s2,text,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s8,style,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s2,spatial,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s4,attribute,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s7,spatial,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s10,text,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s3,attribute,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s1,count,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s8,spatial,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s9,style,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s5,attribute,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s6,spatial,no
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s5,spatial,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s3,attribute,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s7,style,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s6,spatial,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s1,count,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s8,style,no
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s2,spatial,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s4,attribute,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s2,attribute,no
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s1,count,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s8,text,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s3,attribute,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s5,spatial,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s7,style,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s4,spatial,yes
v247_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s6,spatial,yes
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s6,attribute,yes
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s1,count,yes
