image,prompt_id,item_id,type,verdict_a,verdict_b
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s1,count,no,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,yes,no
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s4,attribute,no,yes
v243_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s8,style,yes,no
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s4,attribute,no,yes
v243_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s8,style,no,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s1,count,no,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s3,count,yes,no
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s4,attribute,no,yes
v243_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s8,style,yes,no
