run,model,item_id,image,csd,csd_provisional
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_001,v233_00_exactly_one_red_apple_with_one_green_leaf_and_one_brown_stem_large_and_centered.png,0.5048,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_002,v233_01_exactly_one_white_six_sided_die_with_black_circular_pips_slightly_rotated_to_show_three_faces_displaying_one_pip_two_pips_and_three_pips.png,0.4008,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_003,v233_02_exactly_one_yellow_umbrella_centered_canopy_open_and_curved_handle_visible.png,0.4244,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_004,v233_03_exactly_one_black_joseon_era_gat_with_a_tall_translucent_crown_a_wide_circular_brim_and_two_thin_tied_chin_strings_single_centered_arrangement.png,0.4083,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_005,v233_04_exactly_one_cream_soprano_recorder_with_clearly_visible_finger_holes_and_mouthpiece_single_centered_arrangement.png,0.5181,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_006,v233_05_a_blue_gift_box_with_a_yellow_ribbon_tied_in_a_neat_bow_on_top_single_centered_arrangement.png,0.4855,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_007,v233_06_exactly_one_joseon_era_scholar_wearing_traditional_white_hanbok_and_a_black_gat_hat_standing_centered_calm_posture_with_hands_gently_clasped_in_front.png,0.442,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_008,v233_07_exactly_one_black_and_white_swallow_with_a_long_forked_tail_perched_on_a_thin_branch_centered.png,0.3818,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_009,v233_08_exactly_one_king_in_a_red_gonryongpo_robe_and_exactly_one_queen_in_a_blue_chima_skirt_standing_side_by_side_the_king_on_the_left_and_the_queen_on_the_right_both_facing_forward_with_calm_expressions.png,0.4396,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_010,v233_09_exactly_one_traditional_korean_turtle_ship_floating_on_calm_sea_waves_the_ship_centered_showing_a_wooden_hull_a_spiked_roof_deck_and_a_dragon_headed_prow.png,0.5463,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_011,v233_10_a_friendly_farmer_standing_centered_in_front_of_a_thatched_roof_house_wearing_a_wide_straw_hat_and_plain_overalls_holding_a_wooden_hoe_at_their_side.png,0.5178,False
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_012,v233_11_exactly_three_children_wearing_yellow_jeogori_jackets_performing_the_ganggangsullae_circle_dance_each_child_holding_the_next_child_s_hands_evenly_spaced_to_form_a_ring_feet_mid_step_cheerful_expressions.png,0.4516,False
