image,prompt_id,item_id,type,verdict
v243_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s4,count,yes
v243_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s5,text,no
v244_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s1,count,yes
v244_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s2,spatial,yes
v244_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s9,text,yes
v244_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s8,style,yes
v245_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s1,count,yes
v243_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s1,count,no
v243_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s4,text,no
v244_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,no
v244_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s4,count,no
v245_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s1,count,yes
v245_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s3,attribute,yes
v245_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s9,text,yes
v243_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s1,count,yes
v245_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s4,count,yes
v245_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s2,attribute,no
v243_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s3,count,no
v243_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s5,attribute,no
v244_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s1,count,yes
v244_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s2,attribute,yes
v245_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s3,count,no
v245_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s4,attribute,no
v245_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s9,text,yes
v243_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s1,count,no
v243_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s2,attribute,yes
v243_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s4,spatial,yes
v244_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s1,count,no
v244_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s2,text,unclear
v244_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s5,text,no
v245_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,no
