image,prompt_id,item_id,type,verdict_a,verdict_b
v246_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s8,style,no,yes
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s2,spatial,yes,no
v246_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s8,style,no,yes
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s4,attribute,no,yes
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s7,spatial,yes,no
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s8,spatial,yes,no
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s9,text,no,yes
v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s6,text,yes,no
v246_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s2,text,yes,no
v246_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s5,text,no,yes
v246_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s6,text,yes,unclear
v246_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s9,style,no,yes
v246_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s7,style,no,yes
v246_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s8,style,yes,no
v246_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s4,attribute,yes,no
v246_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s9,text,no,yes
v246_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s2,attribute,yes,no
v246_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s10,text,no,yes
v246_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s3,attribute,no,yes
v246_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s5,spatial,yes,no
v246_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s9,attribute,yes,no
v246_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s1,count,no,yes
v246_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s4,count,no,yes
