image,prompt_id,item_id,type,verdict_a,verdict_b
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s2,spatial,no,yes
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s4,attribute,no,yes
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s9,spatial,no,yes
v246_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s4,attribute,no,yes
v246_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s6,spatial,no,yes
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s5,attribute,no,yes
v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s1,count,no,yes
v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s5,text,no,yes
v246_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s6,attribute,no,yes
v246_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,no,yes
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s7,style,no,yes
v246_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s7,style,no,yes
v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s5,text,no,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s10,style,yes,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s4,attribute,no,yes
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s7,style,yes,no
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s1,count,no,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s2,text,no,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s4,attribute,no,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s6,text,no,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s6,spatial,yes,no
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s9,text,yes,no
v247_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s4,attribute,no,yes
v247_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s5,text,yes,no
v247_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s5,text,no,yes
v247_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s7,style,no,yes
v249_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s6,spatial,no,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s8,style,no,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s9,text,yes,no
v249_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s5,text,no,yes
v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,no,yes
v249_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s7,style,no,yes
